TIME,VALUE,DURATION,LABEL
0.000000000,1,19.200000000,A
19.200000000,2,19.200000000,B
38.400000000,3,29.000000000,C
67.400000000,4,9.800000000,D
77.200000000,5,4.800000000,E
82.000000000,4,9.600000000,D
91.600000000,5,10.800000000,E
102.400000000,4,6.000000000,D
108.400000000,5,11.000000000,E
119.400000000,1,8.000000000,A
127.400000000,6,7.600000000,F
135.000000000,7,4.200000000,G
139.200000000,1,6.600000000,A
145.800000000,6,7.400000000,F
153.200000000,1,8.400000000,A
161.600000000,6,7.400000000,F
169.000000000,7,4.200000000,G
173.200000000,1,5.000000000,A
178.200000000,5,12.400000000,E